title,combined
Sardar Udham,"a biopic detailing the 2 decades that punjabi sikh revolutionary, udham singh, spent planning the assassination of the man responsible for the jallianwala bagh massacre. shoojitsircar biography crime drama"
The Ice Road,"after a remote diamond mine collapses in far northern canada, a 'big-rig' ice road driver must lead an impossible rescue mission over a frozen lake to save the trapped miners. jonathanhensleigh action adventure thriller"
Cinderella,"a modern movie musical with a bold take on the classic fairy tale. our ambitious heroine has big dreams and with the help of her fab godmother, she perseveres to make them come true. kaycannon comedy family fantasy"
Outside the Wire,"in the near future, a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack. mikaelhåfström action adventure fantasy"
Thunder Force,"in a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city. benfalcone action adventure comedy"
Being the Ricardos,follows lucy and desi as they face a crisis that could end their careers--and another that could end their marriage. aaronsorkin biography drama
Snake Eyes,a g.i. joe spin-off centered around the character of snake eyes. robertschwentke action adventure crime
Oxygen,"a woman wakes in a cryogenic chamber with no recollection of how she got there. as she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare. alexandreaja drama fantasy sciencefiction"
Antlers,"in an isolated oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature. scottcooper drama horror mystery"
Dhamaka,"reassigned from tv to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air. rammadhvani,heavenveersinghhayer action crime drama"
Antim: The Final Truth,the cop played by salman fights the land mafia in the film. maheshmanjrekar action crime drama
Mimi,"mimi is introduced by bhanu to an american couple as a surrogate in exchange for rs 2 million. she decides to have the baby even when they change their mind and tells her parent that bhanu is the father. rajeshbhatia,laxmanutekar comedy drama"
Fatherhood,a father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth. paulweitz comedy drama
The Marksman,a rancher on the arizona border becomes the unlikely defender of a young mexican boy desperately fleeing the cartel assassins who've pursued him into the u.s. robertlorenz action drama thriller
Palmer,an ex-convict strikes up a friendship with a boy from a troubled home. fisherstevens drama
The Forever Purge,all the rules are broken as a sect of lawless marauders decides that the annual purge does not stop at daybreak and instead should never end. everardogout action crime horror
The Card Counter,"redemption is the long game in paul schrader's the card counter. told with schrader's trademark cinematic intensity, the revenge thriller tells the story of an ex-military interrogator turned gambler haunted by the ghosts of his past. paulschrader crime drama thriller"
Malcolm & Marie,a director and his girlfriend's relationship is tested after they return home from his movie premiere and face each other's turmoil during one long night. samlevinson drama romance
'83,"on june 25, 1983, the lord's cricket ground witnessed 14 men beat the two times world champions west indies, putting india back onto the cricket world stage. kabirkhan biography drama history"
Drishyam 2,a gripping tale of an investigation and a family which is threatened by it. will georgekutty be able to protect his family this time? jeethujoseph crime drama thriller
The Cost of Deception,"when a young, ambitious market researcher finds out her boss is involved in the leaking of a scandalous prime minister speech, she decides to investigate the case to gain a position among the big-shots. based on actual events. keithenglish action crime drama"
No Sudden Move,a group of criminals are brought together under mysterious circumstances and have to work together to uncover what's really going on when their simple job goes completely sideways. stevensoderbergh crime drama mystery
Ron's Gone Wrong,"the story of barney, an awkward middle-schooler and ron, his new walking, talking, digitally-connected device. ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship. sarahsmith,jean-philippevine,octavioe.rodriguez animation adventure comedy"
Tom and Jerry,"a chaotic battle ensues between jerry mouse, who has taken refuge in the royal gate hotel, and tom cat, who is hired to drive him away before the day of a big wedding arrives. timstory animation adventure comedy"
The Tragedy of Macbeth,"a scottish lord becomes convinced by a trio of witches that he will become the next king of scotland, and his ambitious wife supports him in his plans of seizing power. joelcoen drama mystery thriller"
